trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9960079893439915}",20,13,8.231322530205807,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,False,"{'a': 0.5, 'e': 0.9920319148370607}",20,0,-35.480836878577264,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.9880717128619305}",20,0,-88.59647888509672,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.9841273200552851}",25,0,-116.34673876762058,"{0: 14, 1: 0, 2: 9, 3: 2, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.9801986733067553}",35,0,-154.44459895739809,"{0: 21, 1: 2, 2: 9, 3: 2, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.9762857097579093}",20,0,-83.41371447552218,"{0: 12, 1: 2, 2: 3, 3: 3, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.9723883668012469}",20,0,-88.44227343048775,"{0: 14, 1: 1, 2: 2, 3: 2, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.9685065820791976}",20,0,-268.80322630781933,"{0: 7, 1: 1, 2: 7, 3: 0, 4: 5}",0
9,False,"{'a': 0.5, 'e': 0.9646402934831231}",25,0,-214.80683993630737,"{0: 13, 1: 4, 2: 3, 3: 1, 4: 4}",0
10,False,"{'a': 0.5, 'e': 0.9607894391523232}",25,0,-144.12053685882609,"{0: 15, 1: 2, 2: 5, 3: 1, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.9569539574730467}",20,0,-58.24605080491325,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.9531337870775047}",20,0,-112.0936302393392,"{0: 9, 1: 5, 2: 4, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.9493288668428895}",25,0,-44.72273213452572,"{0: 17, 1: 3, 2: 5, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.9455391358903963}",20,0,-110.3146490649973,"{0: 9, 1: 6, 2: 3, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.9417645335842487}",30,0,-211.12433392477797,"{0: 16, 1: 3, 2: 7, 3: 1, 4: 3}",0
16,False,"{'a': 0.5, 'e': 0.9380049995307295}",20,0,-61.11433154982089,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.9342604735772135}",20,0,-40.82141102930939,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.9305308958112057}",30,0,-188.2696052623105,"{0: 16, 1: 6, 2: 3, 3: 3, 4: 2}",0
19,False,"{'a': 0.5, 'e': 0.9268162065593822}",30,0,-126.04303982009203,"{0: 21, 1: 2, 2: 4, 3: 1, 4: 2}",0
20,False,"{'a': 0.5, 'e': 0.9231163463866358}",25,0,-58.63857674078154,"{0: 17, 1: 2, 2: 5, 3: 1, 4: 0}",0
