trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-76.12121501745564,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",30,12,-125.00313953546932,"{0: 10, 1: 1, 2: 4, 3: 1, 4: 2}",1
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-131.7590744766899,"{0: 15, 1: 2, 2: 6, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,8,-90.89919281531347,"{0: 4, 1: 2, 2: 5, 3: 0, 4: 1}",1
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-57.52698323819977,"{0: 17, 1: 3, 2: 4, 3: 1, 4: 0}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-159.97322861795516,"{0: 8, 1: 2, 2: 8, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-141.5851715784738,"{0: 9, 1: 2, 2: 6, 3: 2, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-116.38763858206036,"{0: 12, 1: 4, 2: 1, 3: 1, 4: 2}",0
9,False,"{'a': 0.5, 'e': 1.0}",30,0,-82.32518181120571,"{0: 23, 1: 0, 2: 5, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-92.32129198037663,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",30,0,-175.79702557033647,"{0: 13, 1: 6, 2: 8, 3: 2, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",30,0,-209.2074310451665,"{0: 14, 1: 7, 2: 4, 3: 3, 4: 2}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-91.00352110147585,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-128.65417520655234,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-21.9140291345623,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-129.66990349453502,"{0: 13, 1: 5, 2: 5, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",30,0,-141.94352111775459,"{0: 16, 1: 8, 2: 4, 3: 0, 4: 2}",0
18,False,"{'a': 0.5, 'e': 1.0}",30,0,-133.09427927095012,"{0: 16, 1: 6, 2: 6, 3: 1, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",30,0,-156.77199109638968,"{0: 16, 1: 3, 2: 8, 3: 2, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,1,-145.72811526454333,"{0: 11, 1: 3, 2: 8, 3: 1, 4: 1}",1
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-165.44073855010367,"{0: 11, 1: 5, 2: 5, 3: 3, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-102.28846196971193,"{0: 15, 1: 3, 2: 6, 3: 0, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-64.5400910685398,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-133.61806031854871,"{0: 9, 1: 1, 2: 8, 3: 1, 4: 1}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-105.22994927366422,"{0: 14, 1: 4, 2: 6, 3: 0, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-41.94134003563508,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-162.173522982293,"{0: 15, 1: 0, 2: 4, 3: 5, 4: 1}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-80.91104712370368,"{0: 14, 1: 6, 2: 3, 3: 2, 4: 0}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-226.0883990787454,"{0: 9, 1: 1, 2: 5, 3: 1, 4: 4}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-69.34856911914122,"{0: 10, 1: 4, 2: 6, 3: 0, 4: 0}",0
